"index","CASE_NO","PETITIONER","RESPONDENT","DATE_OF_JUDGMENT","BENCH","JUDGMENT"
"277","Appeal (criminal) 4621 of 2023","Arvind Kumar","State of Gujarat","2023-12-20","Justice S. Patel, Justice R. Nair","J U D G M E N T CRIMINAL APPEAL NO. 4621 OF 2023. The appellant was accused of illegal possession of narcotics. The court acquitted him due to lack of proper evidence."
"278","Appeal (civil) 1145 of 2024","Wipro","Corporate Compliance Board","2024-06-22","Justice H. Kapoor, Justice S. Reddy","J U D G M E N T CIVIL APPEAL NO. 1145 OF 2024. The petitioner contested regulatory actions regarding corporate governance. The court ruled in favor of Wipro, emphasizing adherence to governance standards."
"279","Appeal (criminal) 3678 of 2023","Nisha Sharma","State of Telangana","2023-01-10","Justice R. Mehta, Justice K. Rao","J U D G M E N T CRIMINAL APPEAL NO. 3678 OF 2023. The appellant faced charges of domestic violence. The court acquitted her, citing lack of evidence and witness credibility."
"280","Appeal (civil) 5600 of 2024","Mahindra & Mahindra","Agricultural Products Regulatory Authority","2024-09-30","Justice K. Iyer, Justice H. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 5600 OF 2024. The petitioner contested regulations on agricultural machinery. The court ruled in favor of Mahindra, affirming their compliance with agricultural standards."
"281","Appeal (criminal) 8840 of 2023","Ravi Singh","State of Bihar","2023-07-25","Justice S. Reddy, Justice P. Nair","J U D G M E N T CRIMINAL APPEAL NO. 8840 OF 2023. The appellant was accused of financial fraud. The court acquitted him due to lack of substantial evidence."
"282","Appeal (civil) 4678 of 2024","Zomato","Food Safety Authority","2024-03-12","Justice P. Agarwal, Justice R. Mehta","J U D G M E N T CIVIL APPEAL NO. 4678 OF 2024. The petitioner contested food safety regulations. The court ruled in favor of Zomato, validating their food safety protocols."
"283","Appeal (criminal) 9253 of 2023","Anil Kumar","State of Himachal Pradesh","2023-04-05","Justice K. Nair, Justice R. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 9253 OF 2023. The appellant was charged with extortion. The court acquitted him due to lack of credible evidence."
"284","Appeal (civil) 3754 of 2024","ICICI Bank","Customer Rights Organization","2024-09-15","Justice V. Mehta, Justice K. Chatterjee","J U D G M E N T CIVIL APPEAL NO. 3754 OF 2024. The petitioner challenged allegations of unfair banking practices. The court ruled in favor of ICICI Bank, confirming adherence to customer rights."
"285","Appeal (criminal) 1203 of 2024","Nirmal Singh","State of Jharkhand","2024-03-28","Justice S. Roy, Justice H. Kapoor","J U D G M E N T CRIMINAL APPEAL NO. 1203 OF 2024. The appellant was charged with assault. The court acquitted him due to insufficient evidence."
"286","Appeal (civil) 6841 of 2024","Tata Consultancy Services","Indian Revenue Service","2024-05-30","Justice P. Joshi, Justice R. Sharma","J U D G M E N T CIVIL APPEAL NO. 6841 OF 2024. The petitioner contested tax assessment claims. The court ruled in favor of TCS, validating their tax filings."
"287","Appeal (criminal) 4205 of 2023","Ramesh Kumar","State of West Bengal","2023-11-17","Justice K. Nair, Justice S. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 4205 OF 2023. The appellant faced charges of smuggling. The court acquitted him, citing lack of concrete evidence."
"288","Appeal (civil) 1943 of 2024","HCL Technologies","IT Compliance Authority","2024-06-14","Justice H. Iyer, Justice P. Rao","J U D G M E N T CIVIL APPEAL NO. 1943 OF 2024. The petitioner contested compliance fines. The court ruled in favor of HCL, confirming their compliance with IT regulations."
"289","Appeal (criminal) 7706 of 2023","Geeta Verma","State of Chhattisgarh","2023-09-30","Justice R. Sharma, Justice S. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 7706 OF 2023. The appellant was accused of theft. The court acquitted her due to lack of evidence and witness inconsistencies."
"290","Appeal (civil) 4599 of 2024","Larsen & Toubro","Contractual Compliance Board","2024-01-05","Justice A. Chatterjee, Justice P. Iyer","J U D G M E N T CIVIL APPEAL NO. 4599 OF 2024. The petitioner contested breach of contract claims. The court ruled in favor of L&T, affirming their compliance with contractual obligations."
"291","Appeal (criminal) 8102 of 2023","Ajay Singh","State of Maharashtra","2023-12-12","Justice K. Agarwal, Justice S. Kapoor","J U D G M E N T CRIMINAL APPEAL NO. 8102 OF 2023. The appellant was charged with assault. The court acquitted him, highlighting inconsistencies in witness testimonies."
"292","Appeal (civil) 3310 of 2024","Axis Bank","Consumer Protection Authority","2024-08-11","Justice H. Nair, Justice R. Patel","J U D G M E N T CIVIL APPEAL NO. 3310 OF 2024. The petitioner contested claims of unfair practices. The court ruled in favor of Axis Bank, affirming their customer service policies."
"293","Appeal (criminal) 6897 of 2023","Seema Rani","State of Uttarakhand","2023-02-03","Justice A. Sharma, Justice S. Roy","J U D G M E N T CRIMINAL APPEAL NO. 6897 OF 2023. The appellant faced charges of fraud. The court acquitted her due to lack of evidence."
"294","Appeal (civil) 8898 of 2024","Tech Mahindra","Labor Rights Commission","2024-02-19","Justice R. Joshi, Justice H. Iyer","J U D G M E N T CIVIL APPEAL NO. 8898 OF 2024. The petitioner challenged labor law compliance measures. The court ruled in favor of Tech Mahindra, affirming their practices."
"295","Appeal (criminal) 6023 of 2023","Rahul Verma","State of Odisha","2023-08-07","Justice P. Mehta, Justice K. Nair","J U D G M E N T CRIMINAL APPEAL NO. 6023 OF 2023. The appellant was charged with drug possession. The court acquitted him due to improper search procedures."
"296","Appeal (civil) 7002 of 2024","Marriott Hotels","Consumer Protection Agency","2024-07-22","Justice K. Kapoor, Justice H. Singh","J U D G M E N T CIVIL APPEAL NO. 7002 OF 2024. The petitioner contested service quality complaints. The court ruled in favor of Marriott, affirming their service standards."
"297","Appeal (criminal) 3210 of 2023","Vikram Patel","State of Karnataka","2023-03-30","Justice S. Mehta, Justice R. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 3210 OF 2023. The appellant faced charges of illegal gambling. The court acquitted him due to lack of evidence."
"298","Appeal (civil) 1240 of 2024","Aditya Birla Group","Environmental Protection Agency","2024-01-11","Justice R. Singh, Justice H. Joshi","J U D G M E N T CIVIL APPEAL NO. 1240 OF 2024. The petitioner contested environmental compliance fines. The court ruled in favor of Aditya Birla Group, affirming their sustainable practices."
"299","Appeal (criminal) 4671 of 2023","Nisha Reddy","State of Haryana","2023-08-15","Justice K. Gupta, Justice S. Roy","J U D G M E N T CRIMINAL APPEAL NO. 4671 OF 2023. The appellant faced charges of misappropriation. The court acquitted her, citing lack of direct evidence."
"300","Appeal (civil) 7453 of 2024","Infosys Technologies","Intellectual Property Office","2024-05-02","Justice H. Nair, Justice A. Kapoor","J U D G M E N T CIVIL APPEAL NO. 7453 OF 2024. The petitioner challenged a patent denial. The court ruled in favor of Infosys, granting the patent."
"301","Appeal (criminal) 2906 of 2023","Karan Joshi","State of Punjab","2023-11-20","Justice R. Sharma, Justice S. Patel","J U D G M E N T CRIMINAL APPEAL NO. 2906 OF 2023. The appellant was accused of hacking. The court acquitted him due to lack of forensic evidence."
"302","Appeal (civil) 4890 of 2024","Hindustan Aeronautics Limited","Aviation Regulatory Authority","2024-02-12","Justice K. Agarwal, Justice P. Singh","J U D G M E N T CIVIL APPEAL NO. 4890 OF 2024. The petitioner contested regulatory penalties. The court ruled in favor of HAL, confirming compliance with aviation laws."
"303","Appeal (criminal) 6124 of 2023","Sunil Ahuja","State of Uttarakhand","2023-06-28","Justice H. Iyer, Justice A. Chatterjee","J U D G M E N T CRIMINAL APPEAL NO. 6124 OF 2023. The appellant was charged with robbery. The court acquitted him based on alibi evidence."
"304","Appeal (civil) 9064 of 2024","Reliance Industries","Telecom Regulatory Authority","2024-06-10","Justice S. Mehta, Justice R. Joshi","J U D G M E N T CIVIL APPEAL NO. 9064 OF 2024. The petitioner challenged telecom service regulations. The court ruled in favor of Reliance, affirming their practices."
"305","Appeal (criminal) 8178 of 2023","Ravi Kumar","State of Madhya Pradesh","2023-09-12","Justice K. Agarwal, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8178 OF 2023. The appellant faced charges of assault. The court acquitted him due to lack of corroborative evidence."
"306","Appeal (civil) 3755 of 2024","Wipro Limited","Employment Tribunal","2024-08-05","Justice R. Iyer, Justice P. Singh","J U D G M E N T CIVIL APPEAL NO. 3755 OF 2024. The petitioner contested wrongful termination claims. The court ruled in favor of Wipro, affirming their employment policies."
"307","Appeal (criminal) 4852 of 2023","Priya Singh","State of Gujarat","2023-03-16","Justice S. Nair, Justice K. Patel","J U D G M E N T CRIMINAL APPEAL NO. 4852 OF 2023. The appellant faced charges of embezzlement. The court acquitted her, citing insufficient evidence."
"308","Appeal (civil) 2218 of 2024","Godrej Industries","Competition Commission of India","2024-09-20","Justice R. Mehta, Justice H. Singh","J U D G M E N T CIVIL APPEAL NO. 2218 OF 2024. The petitioner contested anti-competitive practices. The court ruled in favor of Godrej, confirming their market practices."
"309","Appeal (criminal) 5632 of 2023","Pooja Sethi","State of Telangana","2023-10-30","Justice K. Nair, Justice A. Roy","J U D G M E N T CRIMINAL APPEAL NO. 5632 OF 2023. The appellant was charged with possession of narcotics. The court acquitted her due to illegal search."
"310","Appeal (civil) 4910 of 2024","Patanjali Ayurved","Food Safety Authority","2024-04-25","Justice R. Joshi, Justice H. Sharma","J U D G M E N T CIVIL APPEAL NO. 4910 OF 2024. The petitioner challenged food product regulations. The court ruled in favor of Patanjali, confirming their compliance."
"311","Appeal (criminal) 3749 of 2023","Ritesh Thakur","State of Himachal Pradesh","2023-05-24","Justice A. Chatterjee, Justice S. Roy","J U D G M E N T CRIMINAL APPEAL NO. 3749 OF 2023. The appellant was charged with tax evasion. The court acquitted him due to lack of evidence."
"312","Appeal (civil) 8510 of 2024","Cognizant Technology Solutions","Data Privacy Commission","2024-07-14","Justice H. Verma, Justice K. Singh","J U D G M E N T CIVIL APPEAL NO. 8510 OF 2024. The petitioner challenged data breach fines. The court ruled in favor of Cognizant, affirming their compliance protocols."
"313","Appeal (criminal) 6645 of 2023","Amir Khan","State of Bihar","2023-09-05","Justice R. Bansal, Justice M. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6645 OF 2023. The appellant was accused of drug trafficking. The court acquitted him due to unreliable witness testimonies."
"314","Appeal (civil) 2007 of 2024","Tata Consultancy Services","Service Tax Department","2024-03-18","Justice A. Iyer, Justice P. Mehta","J U D G M E N T CIVIL APPEAL NO. 2007 OF 2024. The petitioner contested service tax claims. The court ruled in favor of TCS, confirming their tax filings."
"315","Appeal (criminal) 5432 of 2023","Rohan Mehta","State of Rajasthan","2023-12-02","Justice K. Gupta, Justice H. Kapoor","J U D G M E N T CRIMINAL APPEAL NO. 5432 OF 2023. The appellant faced charges of fraud. The court acquitted him due to lack of substantial evidence."
"316","Appeal (civil) 9132 of 2024","Bajaj Auto Ltd.","Motor Vehicle Authority","2024-08-01","Justice S. Chaudhary, Justice H. Singh","J U D G M E N T CIVIL APPEAL NO. 9132 OF 2024. The petitioner challenged vehicle compliance regulations. The court ruled in favor of Bajaj, affirming their manufacturing practices."
"317","Appeal (criminal) 8794 of 2023","Kriti Sharma","State of Andhra Pradesh","2023-11-29","Justice M. Sharma, Justice R. Singh","J U D G M E N T CRIMINAL APPEAL NO. 8794 OF 2023. The appellant was charged with assault. The court acquitted her due to inconsistencies in the prosecution's evidence."
"318","Appeal (civil) 6548 of 2024","Mahindra & Mahindra","Agricultural Regulatory Authority","2024-02-28","Justice R. Khosla, Justice A. Mehta","J U D G M E N T CIVIL APPEAL NO. 6548 OF 2024. The petitioner contested agricultural product regulations. The court ruled in favor of Mahindra, affirming compliance with industry standards."
"319","Appeal (criminal) 2873 of 2023","Nitin Sharma","State of Maharashtra","2023-05-09","Justice H. Nair, Justice S. Patel","J U D G M E N T CRIMINAL APPEAL NO. 2873 OF 2023. The appellant faced charges of public disturbance. The court acquitted him due to lack of evidence."
"320","Appeal (civil) 1290 of 2024","Larsen & Toubro","Construction Regulatory Authority","2024-06-16","Justice S. Roy, Justice K. Agarwal","J U D G M E N T CIVIL APPEAL NO. 1290 OF 2024. The petitioner contested construction safety regulations. The court ruled in favor of L&T, confirming compliance."
"321","Appeal (criminal) 6741 of 2023","Vikram Patel","State of Chhattisgarh","2023-01-19","Justice R. Bansal, Justice M. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6741 OF 2023. The appellant was charged with theft. The court acquitted him due to the credibility of witnesses."
"322","Appeal (civil) 4576 of 2024","HDFC Bank Ltd.","Consumer Protection Forum","2024-03-22","Justice K. Agarwal, Justice H. Mehta","J U D G M E N T CIVIL APPEAL NO. 4576 OF 2024. The petitioner challenged customer service complaints. The court ruled in favor of HDFC, affirming their customer service policies."
"323","Appeal (criminal) 3022 of 2023","Anjali Verma","State of Uttarakhand","2023-07-15","Justice S. Roy, Justice R. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 3022 OF 2023. The appellant was accused of conspiracy. The court acquitted her due to lack of corroborative evidence."
"324","Appeal (civil) 5198 of 2024","Tata Steel","Environmental Protection Agency","2024-08-27","Justice R. Khosla, Justice P. Joshi","J U D G M E N T CIVIL APPEAL NO. 5198 OF 2024. The petitioner contested environmental compliance fines. The court ruled in favor of Tata Steel, affirming their sustainability efforts."
"325","Appeal (criminal) 1243 of 2023","Gaurav Singh","State of Punjab","2023-12-14","Justice K. Singh, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 1243 OF 2023. The appellant was charged with fraud. The court acquitted him due to insufficient evidence."
"326","Appeal (civil) 3920 of 2024","ICICI Bank","Securities Exchange Board of India","2024-05-15","Justice H. Kapoor, Justice A. Mehta","J U D G M E N T CIVIL APPEAL NO. 3920 OF 2024. The petitioner challenged regulatory fines imposed for trading violations. The court ruled in favor of ICICI, affirming their compliance with securities regulations."
"327","Appeal (criminal) 1890 of 2023","Ajay Sethi","State of Delhi","2023-10-11","Justice K. Agarwal, Justice R. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 1890 OF 2023. The appellant faced charges of embezzlement. The court acquitted him due to lack of concrete evidence."
"328","Appeal (civil) 7811 of 2024","Wipro Limited","Intellectual Property Office","2024-06-20","Justice S. Roy, Justice M. Gupta","J U D G M E N T CIVIL APPEAL NO. 7811 OF 2024. The petitioner contested patent infringement claims. The court ruled in favor of Wipro, affirming their patent rights."
"329","Appeal (criminal) 8345 of 2023","Rani Verma","State of Haryana","2023-03-09","Justice A. Iyer, Justice H. Mehta","J U D G M E N T CRIMINAL APPEAL NO. 8345 OF 2023. The appellant was charged with harassment. The court acquitted her due to insufficient evidence."
"330","Appeal (civil) 4632 of 2024","Mahindra & Mahindra","Consumer Forum","2024-09-02","Justice R. Bansal, Justice S. Patel","J U D G M E N T CIVIL APPEAL NO. 4632 OF 2024. The petitioner contested consumer claims regarding product liability. The court ruled in favor of Mahindra, confirming their adherence to safety standards."
"331","Appeal (criminal) 5123 of 2023","Vikas Khanna","State of Gujarat","2023-07-26","Justice H. Iyer, Justice M. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 5123 OF 2023. The appellant was accused of assault. The court acquitted him based on lack of credible evidence."
"332","Appeal (civil) 9064 of 2024","Tata Power","Energy Regulatory Commission","2024-04-14","Justice S. Khosla, Justice R. Mehta","J U D G M E N T CIVIL APPEAL NO. 9064 OF 2024. The petitioner contested tariff regulations. The court ruled in favor of Tata Power, affirming their tariff structures."
"333","Appeal (criminal) 3478 of 2023","Poonam Bhatia","State of Madhya Pradesh","2023-02-21","Justice R. Nair, Justice S. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 3478 OF 2023. The appellant faced charges of theft. The court acquitted her due to unreliable witness statements."
"334","Appeal (civil) 6509 of 2024","Infosys Limited","Employment Tribunal","2024-05-23","Justice K. Agarwal, Justice A. Sharma","J U D G M E N T CIVIL APPEAL NO. 6509 OF 2024. The petitioner contested employment termination claims. The court ruled in favor of Infosys, upholding their employment policies."
"335","Appeal (criminal) 4210 of 2023","Rajesh Gupta","State of Kerala","2023-11-08","Justice A. Mehta, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4210 OF 2023. The appellant was charged with bribery. The court acquitted him due to procedural errors in the investigation."
"336","Appeal (civil) 8031 of 2024","Air India","Consumer Protection Board","2024-01-12","Justice R. Bansal, Justice S. Roy","J U D G M E N T CIVIL APPEAL NO. 8031 OF 2024. The petitioner contested passenger complaint claims. The court ruled in favor of Air India, confirming their customer service measures."
"337","Appeal (criminal) 5654 of 2023","Sanjay Verma","State of Uttarakhand","2023-05-30","Justice H. Kapoor, Justice A. Singh","J U D G M E N T CRIMINAL APPEAL NO. 5654 OF 2023. The appellant faced charges of drug possession. The court acquitted him due to lack of conclusive evidence."
"338","Appeal (civil) 4208 of 2024","State Bank of India","Debt Recovery Tribunal","2024-07-10","Justice K. Agarwal, Justice R. Singh","J U D G M E N T CIVIL APPEAL NO. 4208 OF 2024. The petitioner contested recovery orders issued against them. The court ruled in favor of SBI, affirming their loan recovery processes."
"339","Appeal (criminal) 1123 of 2023","Meera Joshi","State of Haryana","2023-12-25","Justice R. Nair, Justice S. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 1123 OF 2023. The appellant was accused of fraud. The court acquitted her due to inconsistencies in the evidence presented."
"340","Appeal (civil) 5794 of 2024","Cairn India Limited","Environmental Authority","2024-03-15","Justice S. Patel, Justice A. Rao","J U D G M E N T CIVIL APPEAL NO. 5794 OF 2024. The petitioner contested fines imposed for environmental violations. The court ruled in favor of Cairn, confirming their compliance with environmental regulations."
"341","Appeal (criminal) 1274 of 2023","Anil Kumar","State of Uttar Pradesh","2023-08-19","Justice H. Agarwal, Justice M. Singh","J U D G M E N T CRIMINAL APPEAL NO. 1274 OF 2023. The appellant was accused of domestic violence. The court acquitted him due to lack of evidence."
"342","Appeal (civil) 8542 of 2024","HDFC Bank","Consumer Forum","2024-06-10","Justice R. Nair, Justice K. Mehta","J U D G M E N T CIVIL APPEAL NO. 8542 OF 2024. The petitioner contested claims regarding unfair banking practices. The court ruled in favor of HDFC Bank, emphasizing consumer rights."
"343","Appeal (criminal) 3947 of 2023","Rajendra Singh","State of Maharashtra","2023-11-22","Justice A. Kapoor, Justice S. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 3947 OF 2023. The appellant was charged with forgery. The court acquitted him due to insufficient proof."
"344","Appeal (civil) 7031 of 2024","Tata Consultancy Services","Employment Tribunal","2024-01-18","Justice M. Sharma, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 7031 OF 2024. The petitioner challenged wrongful termination claims. The court ruled in favor of TCS, upholding their employment policies."
"345","Appeal (criminal) 2176 of 2023","Sunil Yadav","State of Punjab","2023-04-30","Justice K. Joshi, Justice A. Singh","J U D G M E N T CRIMINAL APPEAL NO. 2176 OF 2023. The appellant faced theft charges. The court acquitted him due to lack of direct evidence."
"346","Appeal (civil) 4820 of 2024","Reliance Industries","Tax Department","2024-08-05","Justice R. Bansal, Justice M. Patel","J U D G M E N T CIVIL APPEAL NO. 4820 OF 2024. The petitioner contested tax assessments. The court ruled in favor of Reliance, affirming their tax compliance."
"347","Appeal (criminal) 6501 of 2023","Meenakshi Sharma","State of Delhi","2023-12-14","Justice S. Rao, Justice H. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 6501 OF 2023. The appellant was accused of conspiracy. The court acquitted her due to lack of evidence."
"348","Appeal (civil) 9137 of 2024","Larsen & Toubro","Contractual Dispute Tribunal","2024-02-11","Justice A. Iyer, Justice K. Sharma","J U D G M E N T CIVIL APPEAL NO. 9137 OF 2024. The petitioner challenged contractual obligations. The court ruled in favor of L&T, affirming their contractual rights."
"349","Appeal (criminal) 8834 of 2023","Nitin Sharma","State of Karnataka","2023-05-17","Justice H. Kapoor, Justice S. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 8834 OF 2023. The appellant was charged with assault. The court acquitted him due to unreliable witness testimonies."
"350","Appeal (civil) 5009 of 2024","Bharti Airtel","Telecom Regulatory Authority","2024-10-03","Justice A. Bansal, Justice M. Rao","J U D G M E N T CIVIL APPEAL NO. 5009 OF 2024. The petitioner contested service regulations. The court ruled in favor of Bharti Airtel, affirming their compliance with telecom regulations."
"351","Appeal (criminal) 7368 of 2023","Geeta Singh","State of Gujarat","2023-09-29","Justice K. Mehta, Justice R. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 7368 OF 2023. The appellant was accused of robbery. The court acquitted her due to insufficient evidence."
"352","Appeal (civil) 2180 of 2024","Infosys Technologies","Employment Authority","2024-07-21","Justice R. Bansal, Justice A. Rao","J U D G M E N T CIVIL APPEAL NO. 2180 OF 2024. The petitioner contested employment dispute resolutions. The court ruled in favor of Infosys, emphasizing fair practices."
"353","Appeal (criminal) 4567 of 2023","Deepak Kumar","State of Tamil Nadu","2023-03-12","Justice H. Joshi, Justice S. Iyer","J U D G M E N T CRIMINAL APPEAL NO. 4567 OF 2023. The appellant was accused of corruption. The court acquitted him due to lack of substantial evidence."
"354","Appeal (civil) 8643 of 2024","Patanjali Ayurved","Food Safety Authority","2024-11-15","Justice A. Iyer, Justice R. Kumar","J U D G M E N T CIVIL APPEAL NO. 8643 OF 2024. The petitioner contested a penalty imposed for health regulation violations. The court ruled in favor of Patanjali, confirming compliance with food safety standards."
"355","Appeal (criminal) 1345 of 2024","Suresh Mehta","State of Bihar","2024-03-25","Justice R. Singh, Justice H. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 1345 OF 2024. The appellant was accused of embezzlement. The court acquitted him due to lack of conclusive evidence."
"356","Appeal (civil) 9205 of 2024","Tata Power","Energy Regulatory Commission","2024-05-08","Justice K. Sharma, Justice A. Joshi","J U D G M E N T CIVIL APPEAL NO. 9205 OF 2024. The petitioner challenged new tariff regulations. The court ruled in favor of Tata Power, stating the regulations were unreasonable."
"357","Appeal (criminal) 4890 of 2024","Nisha Patel","State of West Bengal","2024-07-30","Justice S. Gupta, Justice H. Sharma","J U D G M E N T CRIMINAL APPEAL NO. 4890 OF 2024. The appellant was charged with fraud. The court found her not guilty due to insufficient proof."
"358","Appeal (civil) 4028 of 2024","Mahindra & Mahindra","Consumer Protection Agency","2024-09-19","Justice A. Mehta, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 4028 OF 2024. The petitioner contested a ruling on vehicle safety standards. The court ruled in favor of Mahindra, validating their compliance."
"359","Appeal (criminal) 7153 of 2023","Arvind Kumar","State of Rajasthan","2023-11-03","Justice R. Joshi, Justice K. Agarwal","J U D G M E N T CRIMINAL APPEAL NO. 7153 OF 2023. The appellant faced drug trafficking charges. The court acquitted him based on procedural errors in evidence collection."
"360","Appeal (civil) 3546 of 2024","Infosys Limited","Tax Authority","2024-02-24","Justice M. Sharma, Justice A. Bansal","J U D G M E N T CIVIL APPEAL NO. 3546 OF 2024. The petitioner contested tax assessments. The court ruled in favor of Infosys, asserting proper adherence to tax laws."
"361","Appeal (criminal) 7320 of 2023","Kiran Joshi","State of Himachal Pradesh","2023-10-12","Justice H. Kumar, Justice S. Rao","J U D G M E N T CRIMINAL APPEAL NO. 7320 OF 2023. The appellant was charged with assault. The court acquitted her due to lack of corroborative witness accounts."
"362","Appeal (civil) 1254 of 2024","Hindustan Aeronautics Limited","Defense Procurement Board","2024-06-01","Justice A. Iyer, Justice R. Bansal","J U D G M E N T CIVIL APPEAL NO. 1254 OF 2024. The petitioner challenged procurement processes. The court ruled in favor of HAL, reinforcing fair bidding practices."
"363","Appeal (criminal) 9743 of 2023","Vikram Singh","State of Andhra Pradesh","2023-01-15","Justice S. Sharma, Justice H. Gupta","J U D G M E N T CRIMINAL APPEAL NO. 9743 OF 2023. The appellant faced charges of public disorder. The court acquitted him based on a lack of sufficient evidence."
"364","Appeal (civil) 5067 of 2024","Wipro Technologies","Securities Exchange Board","2024-04-20","Justice K. Mehta, Justice R. Joshi","J U D G M E N T CIVIL APPEAL NO. 5067 OF 2024. The petitioner challenged compliance penalties. The court ruled in favor of Wipro, affirming their adherence to regulations."
"365","Appeal (criminal) 3478 of 2023","Ajay Verma","State of Maharashtra","2023-09-22","Justice R. Iyer, Justice A. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 3478 OF 2023. The appellant was accused of conspiracy. The court acquitted him due to lack of direct evidence linking him to the crime."
"366","Appeal (civil) 8432 of 2024","Cognizant Technology Solutions","Employment Standards Board","2024-08-17","Justice H. Agarwal, Justice S. Gupta","J U D G M E N T CIVIL APPEAL NO. 8432 OF 2024. The petitioner contested employee termination claims. The court ruled in favor of Cognizant, affirming their HR policies."
"367","Appeal (criminal) 5604 of 2023","Sumit Chatterjee","State of Jharkhand","2023-06-13","Justice K. Rao, Justice R. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 5604 OF 2023. The appellant was charged with theft. The court acquitted him due to procedural mistakes in the investigation."
"368","Appeal (civil) 7789 of 2024","JSW Steel","Environmental Protection Agency","2024-09-29","Justice P. Iyer, Justice R. Kumar","J U D G M E N T CIVIL APPEAL NO. 7789 OF 2024. The petitioner contested penalties for pollution violations. The court ruled in favor of JSW Steel, finding the penalties excessive."
"369","Appeal (criminal) 4412 of 2023","Rajesh Yadav","State of Chhattisgarh","2023-05-10","Justice S. Gupta, Justice A. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 4412 OF 2023. The appellant was accused of illegal logging. The court acquitted him due to lack of evidence."
"370","Appeal (civil) 5200 of 2024","HDFC Bank","Consumer Forum","2024-06-15","Justice K. Sharma, Justice R. Iyer","J U D G M E N T CIVIL APPEAL NO. 5200 OF 2024. The petitioner contested a ruling on service charge disputes. The court ruled in favor of HDFC, affirming their fee structure."
"371","Appeal (criminal) 6345 of 2023","Shyam Sundar","State of Uttarakhand","2023-11-10","Justice H. Mehta, Justice A. Kumar","J U D G M E N T CRIMINAL APPEAL NO. 6345 OF 2023. The appellant faced charges of bribery. The court acquitted him, citing lack of direct evidence."
"372","Appeal (civil) 8942 of 2024","Infosys Technologies","Intellectual Property Office","2024-08-30","Justice R. Bansal, Justice K. Joshi","J U D G M E N T CIVIL APPEAL NO. 8942 OF 2024. The petitioner contested a patent denial. The court ruled in favor of Infosys, stating the invention was novel."
"373","Appeal (criminal) 2113 of 2024","Manoj Kumar","State of Goa","2024-03-05","Justice A. Agarwal, Justice S. Rao","J U D G M E N T CRIMINAL APPEAL NO. 2113 OF 2024. The appellant was charged with tax evasion. The court acquitted him, ruling the evidence was circumstantial."
"374","Appeal (civil) 3220 of 2024","Tata Consultancy Services","Labor Board","2024-07-20","Justice P. Bansal, Justice H. Mehta","J U D G M E N T CIVIL APPEAL NO. 3220 OF 2024. The petitioner contested labor dispute findings. The court ruled in favor of TCS, citing compliance with labor laws."
"375","Appeal (criminal) 4709 of 2023","Suresh Rai","State of Punjab","2023-12-12","Justice R. Kumar, Justice A. Joshi","J U D G M E N T CRIMINAL APPEAL NO. 4709 OF 2023. The appellant faced charges of human trafficking. The court acquitted him due to procedural flaws."
"376","Appeal (civil) 1850 of 2024","Flipkart India","Consumer Protection Board","2024-02-05","Justice S. Gupta, Justice H. Sharma","J U D G M E N T CIVIL APPEAL NO. 1850 OF 2024. The petitioner challenged fines imposed for false advertising. The court ruled in favor of Flipkart, affirming their claims."
"377","Appeal (criminal) 9273 of 2023","Rita Verma","State of Kerala","2023-06-15","Justice K. Sharma, Justice A. Bansal","J U D G M E N T CRIMINAL APPEAL NO. 9273 OF 2023. The appellant was accused of assault. The court acquitted her due to lack of eyewitnesses."
"378","Appeal (civil) 6554 of 2024","Samsung Electronics","Trademark Authority","2024-09-05","Justice R. Joshi, Justice A. Mehta","J U D G M E N T CIVIL APPEAL NO. 6554 OF 2024. The petitioner contested trademark registration denial. The court ruled in favor of Samsung, validating their brand's uniqueness."
